Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
Bulgaria,247,384,"USD 143,361,443",6.64E+10,0.22%,"USD 373,337","USD 216,002",0,47.2,239,28,21,190,46%,112,241,60,20,46,0,53%,53%,NaN,21%,21%,NaN
Burkina Faso,6,10,"USD 2,189,583",1.59E+10,0.01%,"USD 218,958","USD 145,321",0,45.5,6,0,4.9998,5,,4.9998,6,0,0,0,0,67%,67%,NaN,67%,67%,NaN
Burundi,16,27,"USD 6,590,232",2.67E+09,0.25%,"USD 244,083","USD 118,806",0,54.9,16,0,5,11,38%,6,16,4.9998,4.9998,4.9998,0,60%,60%,NaN,51%,51%,NaN
Cambodia,4.9998,4.9998,"USD 37,506",2.46E+10,0.00%,NaN,NaN,0,41,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,0,0,100%,100%,NaN,100%,100%,NaN
Cameroon,47,65,"USD 17,194,543",4.00E+10,0.04%,"USD 264,531","USD 155,370",4.9998,49.9,46,8,10,28,32%,15,47,9,0,4.9998,0,40%,40%,2%,17%,17%,2%
Canada,5694,11360,"USD 5,150,218,144",1.73E+12,0.30%,"USD 453,364","USD 239,122",10,51.4,5608,540,1375,3693,35%,1965,5686,949,261,1525,22,56%,56%,0%,26%,26%,0%
Cayman Islands,6,1142,"USD 565,389,111",5.52E+09,10.24%,"USD 495,087","USD 330,130",6,,0,0,0,0,100%,6,6,0,0,0,4.9998,40%,NaN,40%,40%,NaN,40%
Central African Republic,7,7,"USD 826,585",2.22E+09,0.04%,"USD 118,084","USD 98,881",0,52,7,0,4.9998,5,,4.9998,7,4.9998,0,0,0,61%,61%,NaN,61%,61%,NaN
Chad,11,22,"USD 14,101,518",1.12E+10,0.13%,"USD 640,978","USD 509,215",0,43.2,11,4.9998,0,8,,4.9998,11,4.9998,0,4.9998,0,46%,46%,NaN,27%,27%,NaN
Chile,27,47,"USD 23,466,863",2.98E+11,0.01%,"USD 499,295","USD 369,027",4.9998,43.3,19,4.9998,4.9998,15,75%,18,24,4.9998,4.9998,4.9998,0,105%,105%,7%,51%,51%,7%
